min_sum_x_op_order_mut_scramble_pop_20,min_sum_x_op_order_mut_swap_pop_20,min_sum_x_op_pmx_mut_scramble_pop_20,min_sum_x_op_pmx_mut_swap_pop_20,min_max_x_op_order_mut_scramble_pop_20,min_max_x_op_order_mut_swap_pop_20,min_max_x_op_pmx_mut_scramble_pop_20,min_max_x_op_pmx_mut_swap_pop_20
28538521.14230957,27706748.484043747,28838529.814375617,26642833.332958885,7108530.7225371525,7420987.907649519,6262138.204577801,5443997.433532965
28455483.241238587,30029765.802167177,29376745.979286727,24872538.614914045,6353873.42700289,6146283.666877803,5843460.5069498615,4852645.287442994
29468773.908825614,27296701.065116767,29366213.39426684,25851096.911090173,7261181.393134842,6679161.994423785,5865492.003542573,4852792.294530091
29180440.016600013,27641616.59126217,29348623.05074469,24924110.28520973,7092467.535841939,6568249.640589281,6020114.298262437,6474402.614139318
28963683.91182749,27029724.551700868,29128306.03565117,32132786.227536254,7536462.255302918,6461295.230733207,6296093.726840577,5196486.693900829
30565128.665354803,26491518.24202335,30219783.71259872,25032411.51677729,7580565.697074567,7661900.1137785055,6670627.695786855,6348571.950056294
29565681.80174991,28231879.56756293,28730650.892423067,30284143.83205989,6858457.330676886,6968021.395399615,6508373.448055611,5229787.7710773535
30705095.533119373,26708454.94134156,27883304.301892933,25362732.01499608,7303250.724675739,7323804.255026351,6328595.201816542,6345246.19171823
30140025.202165537,26779030.12704865,29154779.939456586,27516706.19855915,7386727.373046686,7235885.502848233,6482110.594118294,5086019.558664544
30051052.654924147,25998494.1183943,29491525.94974659,26861713.5347214,7529450.850836991,7572444.285651371,6151432.688830119,5388468.433419665
28882828.391981587,28807415.818945985,29506313.185907736,25325102.19262287,6906888.177341024,7379561.503121223,5875253.512989686,4702664.186205338
29675023.819539413,27331287.51242368,29740764.39011535,26790381.77060297,7916695.530804341,6336654.767206159,5583825.559831677,5720213.520262123
29949804.808192696,27701402.458027367,28957148.96347305,25697983.53139636,7158665.2863563085,6196913.767459169,5413809.026420919,5209713.466201087
29484760.97625467,27591605.82409608,28618493.1123166,26458776.42012448,6818139.163519844,7083351.3342750985,5696676.492101093,5130882.110572228
29402883.295349848,27547814.04605149,28212469.23988384,24436348.62044936,7116275.913826759,7489485.297734276,6770098.470665172,4565053.561678321
28339753.31793763,27045258.71980798,30478435.573497668,27337925.820343487,6791571.443016362,6854880.07984937,5725275.399623883,4737992.105197322
27990705.15870794,29046839.818018228,29903018.39701893,25956362.54369844,7817719.125253811,7159912.00983345,5417630.090638087,4224100.802337935
29180636.0659009,27967531.12339476,29363367.58863104,29063581.50081149,7045348.24217445,7391688.121974198,6199613.238445382,5075089.307662456
29572946.6616565,29669847.18847486,29645349.25093818,26520838.339685317,6903608.708339396,6495461.970431859,6256000.543348744,5209078.185254159
30182443.55641457,28526893.53976592,28842297.413295493,25467705.156028792,7911799.9357727375,7315320.354529568,6366586.265367683,4978104.126858078
30078502.227799624,29096648.96430151,30326987.67671383,26305346.47969767,7319004.30755619,7263731.745479603,6033342.320326985,5605743.188999487
29411114.806007072,26883305.007872637,29816415.4225929,28241943.42416715,6910251.301366261,6958587.616562609,6323357.26271517,5172383.402258091
29523540.34354917,27528564.736918997,28392750.47354537,26159980.468294,7344709.747551356,7101188.365877117,5865458.344985346,5018270.19691732
30053927.872127715,28933772.02526424,28717706.19875217,28475668.106222037,7165577.302314581,6990330.585382645,6295376.635802031,5592208.240573607
27301517.11168204,27635979.551955115,29563504.56944345,24869424.70039299,7361302.178351117,6722471.491682909,6006464.2211163975,4339345.824094363
30997203.910017774,27329736.696132697,29203736.851770382,27208469.67179566,7113356.36889036,6983968.369746008,5748221.873866011,4838021.029669232
30474691.209076345,27865308.100082863,30807630.817185283,26771751.7773503,7357671.9389671,7495391.422023375,5896097.08893768,5013877.944646667
28869966.65276718,28809379.749550853,30128409.527439836,26454771.15811508,7535868.256383292,7356592.918424868,5627896.820991209,4744261.432599456
29122374.95842865,26690558.59918294,31085426.341877017,24843458.88315603,7282174.869591744,7169700.164164054,6187942.143969154,4473402.5443292735
28908753.833790086,27214612.210836336,29914119.536150105,30098884.499211468,6637256.701491449,6985050.913794825,5998071.87185719,5212532.326867704
